isocntry,lgbt_rights,age,lgbt_friends,religion,discrim_percep,sastisfaction,discrim_exp,online_activism,antidiscrim_eff,left_right,marital,gender,education,occupation,urban,mobile,fin_hardship,internet,social_class,voice_country,opinion_leader,interview_size,cooperation,min_ethnic,min_skin,min_religion,min_sexual,min_roma,w1,lgbt_power,gdp_pc,free_expr,polarisation,hate_speech,educ_equality
BE,2,51,0,1,2,2,0,0,7,7,3,1,3,3,3,1,2,1,2,2,3,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,62,0,1,3,2,0,0,3,8,2,0,2,5,3,1,3,2,3,1,4,1,1,0,0,0,0,0,0.587,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,38,1,12,2,1,0,0,6,4,2,0,2,3,3,1,2,1,2,2,4,1,1,0,0,0,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,29,1,12,2,1,0,1,9,10,2,1,3,2,3,1,3,1,4,2,1,1,1,0,0,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,63,0,1,2,2,0,0,6,8,2,0,3,5,3,1,3,2,4,1,2,1,1,0,0,0,0,0,0.587,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,41,0,13,2,1,0,0,4,7,2,0,3,3,3,1,3,1,3,2,4,1,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,48,0,13,3,2,0,0,4,3,2,1,3,3,3,1,2,1,3,1,3,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,88,0,1,3,2,0,0,7,9,3,1,3,7,3,1,2,6,3,2,2,1,1,0,0,0,0,0,0.5244,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,44,1,1,4,2,0,0,8,3,2,0,2,5,3,1,3,1,3,1,4,1,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,45,1,1,3,2,0,0,8,8,2,0,3,3,3,1,3,1,4,1,4,1,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,54,1,8,2,2,0,0,6,9,2,0,2,7,3,1,2,2,3,1,4,1,2,1,1,1,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,34,1,4,3,1,0,0,5,1,2,1,3,1,3,1,3,1,4,1,3,1,1,0,0,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,23,0,3,2,2,0,0,8,1,1,0,4,8,3,1,2,2,2,3,2,1,1,0,1,1,0,0,0.8117,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,49,1,7,2,2,0,0,4,3,1,0,5,6,3,1,1,6,1,3,2,2,2,1,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,46,0,13,2,2,0,1,6,6,3,0,3,6,3,1,1,3,3,1,2,1,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,51,1,12,3,1,0,0,6,9,2,1,3,2,3,1,3,1,4,1,3,2,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,25,1,4,2,2,0,0,3,10,1,0,4,8,3,1,1,1,3,2,2,1,2,0,0,1,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,33,1,4,2,2,0,1,3,1,2,1,3,3,3,1,2,2,3,2,1,1,2,0,0,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,27,1,13,2,2,0,0,3,3,1,1,3,4,3,1,2,1,3,3,2,1,1,0,0,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,61,0,1,3,2,0,0,7,1,3,0,2,7,3,1,2,2,3,3,2,2,1,0,1,0,0,0,0.587,2.384,96.77,0.973,-1.717,0.364,2.52
BE,4,57,0,2,3,1,0,0,1,3,1,1,2,7,3,1,3,2,1,4,3,2,2,0,1,0,0,0,0.7383,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,58,1,7,2,2,0,1,1,1,2,0,3,7,3,1,2,1,3,1,2,1,1,0,0,1,1,0,0.587,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,48,1,13,2,2,0,0,5,2,2,0,3,2,3,1,3,1,3,2,2,1,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,50,0,2,4,4,0,0,8,8,1,1,3,2,3,1,3,1,3,1,3,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,48,1,2,1,2,0,1,5,5,2,0,3,3,3,1,3,1,4,2,2,3,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,60,0,13,3,2,0,1,6,1,1,1,2,3,3,1,3,2,2,3,3,1,1,0,0,0,0,0,0.7383,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,49,1,1,1,2,0,0,5,6,2,1,2,3,3,1,3,1,3,2,3,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,49,1,12,2,2,0,0,6,6,2,1,3,2,3,1,3,1,2,6,2,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,28,0,3,3,2,0,1,3,3,1,1,8,3,3,1,3,1,2,1,2,1,1,1,1,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,32,1,1,1,2,0,1,3,8,2,0,2,4,3,1,2,1,2,1,2,1,3,1,1,0,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,17,1,1,1,4,0,1,1,7,1,0,4,8,3,1,2,1,3,4,4,1,2,0,1,1,1,0,0.8117,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,54,0,1,1,2,0,1,4,5,2,0,2,4,3,1,2,5,2,2,3,1,2,1,1,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,20,1,13,1,1,0,1,5,5,1,1,4,8,3,1,2,1,3,4,2,1,1,0,0,0,0,0,0.7638,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,19,1,12,1,1,0,1,5,2,1,0,4,8,3,1,3,1,3,4,1,1,1,0,0,0,0,0,0.8117,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,23,1,12,2,2,0,1,5,4,1,1,4,8,3,1,3,1,3,4,1,2,1,0,0,0,0,0,0.7638,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,45,0,3,2,2,0,0,5,5,2,1,8,4,3,1,2,1,2,3,3,1,1,0,1,0,1,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,57,1,2,3,2,0,0,5,5,2,1,8,4,3,1,3,1,2,3,3,1,2,0,0,0,0,0,0.7383,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,34,1,3,3,2,1,0,5,5,2,0,8,6,3,1,2,1,2,3,3,1,1,0,0,0,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,55,1,4,2,2,0,0,5,5,2,1,8,4,3,1,3,1,2,4,3,1,1,0,0,0,0,0,0.7383,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,46,1,3,2,3,0,0,5,7,1,0,5,6,3,1,2,1,1,2,2,1,2,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,42,0,1,1,2,0,1,5,5,2,0,5,2,3,1,3,1,1,2,3,1,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,30,0,6,2,2,0,1,6,5,1,0,5,4,3,1,2,1,1,2,3,1,1,0,0,0,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,42,1,1,2,2,0,0,3,5,2,0,5,2,3,1,3,1,2,2,2,1,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,38,1,6,2,3,0,0,5,5,2,0,5,2,3,1,3,1,2,2,2,1,2,1,1,1,1,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,35,0,6,1,2,0,0,5,4,1,1,5,4,3,1,2,1,1,3,3,1,2,1,1,1,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,47,0,1,3,2,0,0,5,5,1,1,5,4,3,1,2,1,1,2,3,1,2,1,1,1,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,37,1,1,3,2,0,0,5,6,2,0,5,6,3,1,2,1,1,2,3,1,2,1,1,1,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
